what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1295210196279
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1295210196279
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1295210196279
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1295210196280
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1295210196280
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1295210196281
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1295210196282
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1295210196282
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1295210196283
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1295210196284
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1295210196284
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1295210196286
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1295210196287
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1295210196288
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1295210196288
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1295210196288
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1295210196289
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1295210196290
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1295210196291
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1295210196292
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1295210196292
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1295210196293
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1295210196294
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1295210196295
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1295210196295
os,sysinfo,,,"win32",1295210196299
arch,sysinfo,,,"x86",1295210196299
ws,sysinfo,,,"win32",1295210196299
locale,sysinfo,,,"en_US",1295210196299
processors,sysinfo,,,"2",1295210196299
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295210196299
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1295210196299
java.specification.name,sysinfo,,,"Java Platform API Specification",1295210196299
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295210196299
java.specification.version,sysinfo,,,"1.6",1295210196299
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295210196299
java.version,sysinfo,,,"1.6.0_23",1295210196299
java.vm.info,sysinfo,,,"mixed mode, sharing",1295210196299
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295210196299
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295210196299
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295210196299
java.vm.specification.version,sysinfo,,,"1.0",1295210196299
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295210196299
java.vm.version,sysinfo,,,"19.0-b09",1295210196299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210205578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210519341
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295210532960
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210535409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210591507
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1295210607435
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210609556
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210643798
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1295210645733
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295210647074
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1295210647464
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295210648899
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295210649789
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295210649789
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295210657058
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295210657121
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1295210657230
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210697181
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210753337
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295210779342
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295210779513
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1295210782805
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1295210792539
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210807422
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210820186
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1295210820196
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1295210820196
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1295210867911
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1295210867927
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1295210868395
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1295210868832
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1295210868894
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1295210868941
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1295210868941
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210869097
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210872310
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1295210872310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295210874104
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1295210887435
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295211401793
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295211415589
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295211438427
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1295211438443
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1295211441469
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295211443404
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1295211443466
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295211443466
